NAME,LATITUDE,LONGITUDE
"Sultanahmet-2 BR Apt,75 Sqm, 1st FL",41.00245,28.9759
"Sultanahmet-1 BR Apt,45 Sqm, 2nd FL",41.00358,28.97661
CHARMING OTTOMAN HOUSE in ISTANBUL,41.0431,29.04741
"Sultanahmet-Large Studio Apt,30 Sqm",41.00211,28.97675
Sultanahmet-Studio Apt w/ Balcony A,41.0028,28.97683
Sultanahmet-Studio Apt w/ Balcony B,41.00412,28.97715
"Great room,Perfect Flat in Taksim",41.04746,28.98689
LONG TERM On a bay outside Istanbul Anadolu Feneri,41.21704,29.15285
The Bosphorus Apartment ,41.02816,29.01679
Cosy flat with terrace @ the center,41.03331,28.9871
