NAME,LATITUDE,LONGITUDE,NEIGHBORHOOD_NAME
SİLİVRİ,41.24434402,28.0673768,BÜYÜK ÇAVUŞLU
SİLİVRİ,41.05166704,28.38699643,SELİMPAŞA
KAĞITHANE,41.06293591,28.95089177,MEHMET AKİF ERSOY
BEYOĞLU,41.03986787,28.97751708,BOSTAN
ŞİLE,41.16117111,29.59034112,AHMETLİ
ÜMRANİYE,41.03100559,29.10747116,İNKILAP
BÜYÜKÇEKMECE,41.0259119,28.55657737,ULUS
BAĞCILAR,41.06025487,28.8411575,GÖZTEPE
TUZLA,40.89976898,29.35113698,MESCİT
ÜSKÜDAR,41.01651772,29.03016851,BARBAROS
SİLİVRİ,41.15407884,28.16835354,SEYMEN
ÜSKÜDAR,41.05192001,29.05209435,ÇENGELKÖY
ARNAVUTKÖY,41.15123592,28.78779368,BOĞAZKÖY İSTİKLAL
ÇEKMEKÖY,41.02688061,29.23974643,EKŞİOĞLU
PENDİK,,,DOĞU
ÜMRANİYE,41.0163878,29.14598187,CEMİL MERİÇ
BAĞCILAR,41.02964793,28.86681223,MERKEZ
SULTANGAZİ,41.093558,28.86348523,SULTANÇİFTLİĞİ
BÜYÜKÇEKMECE,41.0265303,28.46566259,KUMBURGAZ
BAĞCILAR,41.04958293,28.82047125,MAHMUTBEY
ARNAVUTKÖY,41.26494688,28.68640353,TAYAKADIN
AVCILAR,40.99944114,28.71346748,FİRUZKÖY
KAĞITHANE,41.10135832,28.97994625,HAMİDİYE
BEYLİKDÜZÜ,40.99338983,28.63037763,ADNAN KAHVECİ
SİLİVRİ,41.0800035,28.20899049,MİMAR SİNAN
KARTAL,40.91055037,29.21150787,ORTA
BEŞİKTAŞ,41.08772462,29.01774089,LEVENT
ÇEKMEKÖY,41.02663493,29.24273605,EKŞİOĞLU
ÜMRANİYE,41.00793467,29.18071075,MADENLER
SULTANBEYLİ,40.96050301,29.29159966,MECİDİYE
SİLİVRİ,41.07092768,28.27675878,CUMHURİYET
TUZLA,40.94263139,29.37344999,TEPEÖREN
ESENLER,41.04909299,28.87684213,FEVZİ ÇAKMAK
MALTEPE,40.93831269,29.14087701,GİRNE
PENDİK,40.88079983,29.2551488,FEVZİ ÇAKMAK
ARNAVUTKÖY,41.20513127,28.72826561,YAVUZ SELİM
ESENYURT,41.06475707,28.67162883,AŞIK VEYSEL
BAYRAMPAŞA,41.03651323,28.89363037,ALTINTEPSİ
SULTANBEYLİ,40.9900595,29.26385538,BATTALGAZİ
BAŞAKŞEHİR,41.06378245,28.74609478,ŞAHİNTEPE
MALTEPE,40.93749563,29.14092765,ZÜMRÜTEVLER
TUZLA,40.8172561,29.36250854,ŞİFA
BAĞCILAR,41.03098273,28.81448575,15 TEMMUZ
BAHÇELİEVLER,41.01178545,28.81783783,YENİBOSNA MERKEZ
SANCAKTEPE,41.00713878,29.19026753,EMEK
ÇATALCA,41.15802798,28.45400215,KALEİÇİ
BEYLİKDÜZÜ,41.00491317,28.63757733,CUMHURİYET
SANCAKTEPE,40.97776957,29.22081122,BÜYÜKBAKKALKÖY
GAZİOSMANPAŞA,41.07864913,28.89545498,BARBAROS HAYRETTİN PAŞA
ÜMRANİYE,41.022159,29.11268323,ATAKENT
ESENYURT,41.02706788,28.62663288,ATATÜRK
BEYLİKDÜZÜ,41.0058405,28.62225456,ADNAN KAHVECİ
BEYLİKDÜZÜ,41.00976787,28.6551092,BARIŞ
SULTANBEYLİ,40.96435042,29.27415361,MEHMET AKİF
MALTEPE,40.9291274,29.14617914,BAĞLARBAŞI
SİLİVRİ,41.09601621,28.37413552,ORTAKÖY
SANCAKTEPE,40.96950037,29.22021668,FATİH
BAHÇELİEVLER,41.01542544,28.8243583,YENİBOSNA MERKEZ
AVCILAR,41.05823633,28.73067151,TAHTAKALE
ESENLER,41.07131312,28.86789576,ORUÇREİS
ZEYTİNBURNU,41.01682003,28.91287897,MERKEZEFENDİ
FATİH,41.01637965,28.94926326,İSKENDERPAŞA
BAŞAKŞEHİR,41.09846363,28.79100388,BAŞAKŞEHİR
GAZİOSMANPAŞA,41.05559916,28.90966919,MERKEZ
ZEYTİNBURNU,41.01981277,28.90877611,TOZKOPARAN
ÇATALCA,41.13514557,28.4656453,FERHATPAŞA
ESENLER,41.05024848,28.85920901,TUNA
PENDİK,40.89918877,29.2686647,YAYALAR
PENDİK,40.89040395,29.23603291,ÇINARDERE
ATAŞEHİR,41.00151354,29.07805502,FETİH
ATAŞEHİR,40.98764191,29.08706788,YENİSAHRA
ARNAVUTKÖY,41.09032672,28.63415889,ÖMERLİ
BAYRAMPAŞA,41.03959059,28.9113182,YENİDOĞAN
SİLİVRİ,41.05631325,28.36998004,SELİMPAŞA
PENDİK,40.89433953,29.2285325,YEŞİLBAĞLAR
ESENYURT,41.05037257,28.62850889,AKÇABURGAZ
GAZİOSMANPAŞA,41.0820832,28.89300155,YENİ MAHALLE
ATAŞEHİR,40.96706594,29.10422482,İÇERENKÖY
BEYOĞLU,41.04161852,28.96642489,KAPTANPAŞA
KAĞITHANE,41.09362435,29.00441833,YEŞİLCE
ARNAVUTKÖY,41.15285325,28.78756392,BOĞAZKÖY İSTİKLAL
ATAŞEHİR,40.97831858,29.12361155,KÜÇÜKBAKKALKÖY
ŞİLE,40.98275215,29.66576089,DEĞİRMENÇAYIRI
TUZLA,40.94062621,29.3698815,TEPEÖREN
KÜÇÜKÇEKMECE,41.06121582,28.77545646,ATAKENT
SANCAKTEPE,40.98163881,29.22145731,BÜYÜKBAKKALKÖY
GAZİOSMANPAŞA,41.07809364,28.89904062,YENİ MAHALLE
GAZİOSMANPAŞA,41.05413073,28.91050432,MERKEZ
BAKIRKÖY,40.99700685,28.87159734,KARTALTEPE
SİLİVRİ,41.06038321,28.08431524,BALABAN
ÇATALCA,41.22299745,28.45500613,SUBAŞI
SİLİVRİ,41.25586386,28.03628635,BÜYÜK ÇAVUŞLU
GAZİOSMANPAŞA,41.07048389,28.90229838,HÜRRİYET
PENDİK,40.87573633,29.23297247,BATI
BEYLİKDÜZÜ,40.98940391,28.65694297,KAVAKLI
ÇATALCA,41.25125326,28.4923899,ÇANAKÇA
SULTANGAZİ,41.12971549,28.83778866,HABİBLER
BAHÇELİEVLER,41.01423895,28.84219214,KOCASİNAN MERKEZ
ÜSKÜDAR,41.00695521,29.02525145,BARBAROS
TUZLA,40.92753109,29.34690737,FATİH
MALTEPE,40.91730439,29.1436794,CEVİZLİ
BAŞAKŞEHİR,41.10409804,28.78326758,BAŞAKŞEHİR
SİLİVRİ,41.08346835,28.36836091,ORTAKÖY
BAĞCILAR,41.05998749,28.83207995,GÖZTEPE
MALTEPE,40.94268716,29.14385305,GİRNE
ESENYURT,41.04239594,28.6764123,ARDIÇLI
SANCAKTEPE,40.9749286,29.24066147,VEYSEL KARANİ
BAĞCILAR,41.02468823,28.8285146,BAĞLAR
GAZİOSMANPAŞA,41.07000505,28.90675266,ŞEMSİPAŞA
BEYLİKDÜZÜ,40.96124162,28.65597255,MARMARA
BEYLİKDÜZÜ,,,
ÜSKÜDAR,41.01064393,29.02021941,SELİMİYE
ÜSKÜDAR,41.03650507,29.06536996,KİRAZLITEPE
ÜSKÜDAR,41.02386574,29.08152877,KISIKLI
KADIKÖY,41.00306655,29.03626706,ACIBADEM
KARTAL,40.89993015,29.21995075,YALI
ESENYURT,41.03065998,28.66262247,YEŞİLKENT
ÇATALCA,,,NAKKAŞ
ÇATALCA,41.33691805,28.41568618,ÇİFTLİKKÖY
EYÜPSULTAN,41.06937155,28.93316692,KARADOLAP
EYÜPSULTAN,41.04574924,28.93140871,DÜĞMECİLER
ŞİLE,41.16743031,29.54177093,KIZILCA
